City,LocalTime,Temperature_C,Wind_Speed_kph,Humidity,Condition
Corum,2023-09-15 18:11,17.5,11.5,41,Sunny
Denizli,2023-09-15 18:11,29.0,6.8,14,Sunny
Diyarbakir,2023-09-15 18:11,32.0,6.8,14,Sunny
Duzce,2023-09-15 18:11,18.8,3.6,53,Sunny
Edirne,2023-09-15 18:12,28.0,10.4,23,Partly cloudy
Elazig,2023-09-15 18:11,30.0,13.0,13,Sunny
Erzincan,2023-09-15 18:11,28.0,3.6,19,Sunny
Erzurum,2023-09-15 18:11,22.0,6.8,25,Partly cloudy
Eskisehir,2023-09-15 18:11,28.0,15.1,13,Sunny
Gaziantep,2023-09-15 18:11,30.0,9.0,13,Sunny
Giresun,2023-09-15 18:12,15.8,3.6,82,Sunny
Gumushane,2023-09-15 18:11,24.0,3.6,61,Partly cloudy
Hakkari,2023-09-15 18:11,12.7,4.0,38,Sunny
Hatay,2023-09-15 18:12,22.8,9.0,53,Sunny
Igdir,2023-09-15 18:12,26.0,3.6,30,Clear
Isparta,2023-09-15 18:11,29.0,16.9,14,Sunny
Istanbul,2023-09-15 18:11,27.0,20.2,42,Sunny
Izmir,2023-09-15 18:11,33.0,19.1,19,Sunny
Kahramanmaras,2023-09-15 18:12,22.2,8.3,19,Sunny
Karabuk,2023-09-15 18:11,17.4,7.9,32,Sunny
Karaman,2023-09-15 18:11,18.3,13.3,18,Sunny
Kars,2023-09-15 18:11,20.0,16.9,37,Partly cloudy
Kastamonu,2023-09-15 18:12,16.6,6.5,35,Sunny
Kayseri,2023-09-15 18:11,23.0,6.1,20,Sunny
Kirikkale,2023-09-15 18:12,26.0,9.0,20,Sunny
Kirklareli,2023-09-15 18:12,24.5,14.8,38,Partly cloudy
Kirsehir,2023-09-15 18:12,25.0,11.2,17,Sunny
Kilis,2023-09-15 18:12,30.0,9.0,13,Sunny
Kocaeli,2023-09-15 18:12,28.0,13.0,42,Sunny
Konya,2023-09-15 18:12,25.0,15.1,21,Sunny
Kutahya,2023-09-15 18:12,20.1,16.9,17,Sunny
Malatya,2023-09-15 18:12,28.0,6.8,16,Sunny
Manisa,2023-09-15 18:12,33.0,19.1,19,Sunny
Mardin,2023-09-15 18:12,26.7,12.2,10,Sunny
Mersin,2023-09-15 18:12,26.8,16.2,51,Sunny
Mugla,2023-09-15 18:12,23.9,3.6,27,Sunny
Mus,2023-09-15 18:12,28.0,3.6,22,Partly cloudy
Nevsehir,2023-09-15 18:12,25.0,11.2,17,Sunny
Nigde,2023-09-15 18:12,14.2,9.0,24,Sunny
Ordu,2023-09-15 18:12,15.8,3.6,82,Sunny
Osmaniye,2023-09-15 18:12,23.9,7.6,40,Sunny
Rize,2023-09-15 18:12,18.2,3.6,80,Sunny
Sakarya,2023-09-15 18:12,28.0,13.0,42,Sunny
Samsun,2023-09-15 18:12,24.0,11.2,61,Partly cloudy
Siirt,2023-09-15 18:12,24.1,5.4,16,Sunny
Sinop,2023-09-15 18:12,21.5,24.1,67,Sunny
Sivas,2023-09-15 18:12,20.0,19.1,32,Sunny
Sirnak,2023-09-15 18:12,28.5,3.6,14,Sunny
Tekirdag,2023-09-15 18:12,28.0,20.2,28,Sunny
Tokat,2023-09-15 18:12,26.0,11.2,34,Partly cloudy
Trabzon,2023-09-15 18:12,24.0,3.6,61,Partly cloudy
Tunceli,2023-09-15 18:12,15.9,5.8,25,Sunny
Usak,2023-09-15 18:12,29.0,6.8,12,Sunny
Van,2023-09-15 18:12,22.0,15.1,35,Partly cloudy
Yalova,2023-09-15 18:12,26.0,28.1,51,Sunny
Yozgat,2023-09-15 18:12,17.1,9.0,38,Sunny
Zonguldak,2023-09-15 18:12,25.0,16.9,51,Partly cloudy
Adana,2023-09-16 18:10,32.0,20.2,32,Sunny
Adiyaman,2023-09-16 18:10,26.8,6.5,13,Sunny
Afyonkarahisar,2023-09-16 18:10,20.4,13.0,26,Sunny
Agri,2023-09-16 18:10,14.1,5.8,49,Sunny
Aksaray,2023-09-16 18:10,19.9,14.0,21,Sunny
Amasya,2023-09-16 18:10,24.0,29.9,36,Sunny
Ankara,2023-09-16 18:10,26.0,19.1,21,Sunny
Antalya,2023-09-16 18:10,30.0,16.9,49,Sunny
Ardahan,2023-09-16 18:10,10.9,10.1,85,Patchy light rain with thunder
Artvin,2023-09-16 18:10,23.0,4.0,73,Partly cloudy
Aydin,2023-09-16 18:10,35.0,16.9,19,Sunny
Balikesir,2023-09-16 18:10,29.0,29.9,37,Sunny
Bartin,2023-09-16 18:10,25.0,22.0,65,Partly cloudy
Batman,2023-09-16 18:10,33.0,6.8,12,Sunny
Bayburt,2023-09-16 18:10,10.4,13.0,83,Partly cloudy
Bilecik,2023-09-16 18:10,27.0,20.2,45,Sunny
Bingol,2023-09-16 18:11,20.3,9.4,19,Sunny
Bitlis,2023-09-16 18:10,33.0,6.8,12,Sunny
Bolu,2023-09-16 18:10,18.7,6.1,71,Sunny
Burdur,2023-09-16 18:10,29.0,6.8,14,Sunny
Bursa,2023-09-16 18:10,27.0,20.2,45,Sunny
Canakkale,2023-09-16 18:10,30.0,29.9,25,Sunny
Cankiri,2023-09-16 18:10,18.6,11.5,29,Sunny
Corum,2023-09-16 18:11,17.4,18.4,47,Sunny
Denizli,2023-09-16 18:11,29.0,6.8,14,Sunny
Diyarbakir,2023-09-16 18:11,32.0,6.8,12,Sunny
Duzce,2023-09-16 18:10,18.7,6.1,71,Sunny
Edirne,2023-09-16 18:11,26.5,22.3,31,Sunny
Elazig,2023-09-16 18:10,31.0,11.2,11,Sunny
Erzincan,2023-09-16 18:10,28.0,15.1,15,Sunny
Erzurum,2023-09-16 18:11,24.0,11.2,13,Partly cloudy
Eskisehir,2023-09-16 18:10,27.0,6.1,25,Sunny
Gaziantep,2023-09-16 18:11,31.0,6.8,18,Sunny
Giresun,2023-09-16 18:10,16.1,3.6,84,Sunny
Gumushane,2023-09-16 18:11,11.0,9.4,92,Cloudy
Hakkari,2023-09-16 18:10,13.8,4.7,31,Sunny
Hatay,2023-09-16 18:10,23.6,10.4,44,Sunny
Igdir,2023-09-16 18:10,27.0,3.6,28,Partly cloudy
Isparta,2023-09-16 18:11,29.0,20.2,16,Sunny
Istanbul,2023-09-16 18:10,26.0,29.9,54,Sunny
Izmir,2023-09-16 18:10,33.0,29.9,24,Sunny
Kahramanmaras,2023-09-16 18:10,25.1,7.6,21,Sunny
Karabuk,2023-09-16 18:10,17.7,8.3,43,Sunny
Karaman,2023-09-16 18:10,19.2,18.7,23,Sunny
Kars,2023-09-16 18:10,21.0,15.1,31,Partly cloudy
Kastamonu,2023-09-16 18:11,17.1,9.7,51,Sunny
Kayseri,2023-09-16 18:11,25.0,11.2,21,Sunny
Kirikkale,2023-09-16 18:11,25.0,24.1,22,Sunny
Kirklareli,2023-09-16 18:11,22.7,17.6,46,Sunny
Kirsehir,2023-09-16 18:11,25.0,16.9,24,Sunny
Kilis,2023-09-16 18:11,31.0,6.8,18,Sunny
Kocaeli,2023-09-16 18:11,26.0,22.0,39,Partly cloudy
Konya,2023-09-16 18:11,25.0,22.0,22,Sunny
Kutahya,2023-09-16 18:11,19.3,13.3,28,Sunny
Malatya,2023-09-16 18:11,29.0,6.8,12,Sunny
Manisa,2023-09-16 18:11,33.0,29.9,24,Sunny
Mardin,2023-09-16 18:11,27.3,11.2,14,Sunny
Mersin,2023-09-16 18:11,27.2,18.4,51,Sunny
Mugla,2023-09-16 18:11,25.0,7.2,25,Sunny
Mus,2023-09-16 18:11,28.0,3.6,16,Partly cloudy
Nevsehir,2023-09-16 18:11,25.0,16.9,24,Sunny
Nigde,2023-09-16 18:11,15.2,12.2,29,Sunny
Ordu,2023-09-16 18:11,16.1,3.6,84,Sunny
Osmaniye,2023-09-16 18:11,23.1,8.6,43,Sunny
Rize,2023-09-16 18:11,18.2,5.8,83,Cloudy
Sakarya,2023-09-16 18:11,26.0,22.0,39,Partly cloudy
Samsun,2023-09-16 18:11,24.0,15.1,74,Partly cloudy
Siirt,2023-09-16 18:11,24.1,3.6,15,Sunny
Sinop,2023-09-16 18:11,21.6,13.3,78,Sunny
Sivas,2023-09-16 18:11,18.0,33.1,49,Sunny
Sirnak,2023-09-16 18:11,29.4,8.6,12,Sunny
Tekirdag,2023-09-16 18:11,26.0,31.0,51,Partly cloudy
Tokat,2023-09-16 18:11,24.0,24.1,41,Partly cloudy
Trabzon,2023-09-16 18:11,23.0,9.0,73,Partly cloudy
Tunceli,2023-09-16 18:11,16.5,3.6,26,Sunny
Usak,2023-09-16 18:11,29.0,11.2,13,Sunny
Van,2023-09-16 18:11,23.0,13.0,36,Partly cloudy
Yalova,2023-09-16 18:11,26.0,29.9,48,Sunny
Yozgat,2023-09-16 18:11,17.6,15.5,43,Sunny
Zonguldak,2023-09-16 18:11,25.0,22.0,65,Partly cloudy
Adana,2023-09-17 18:11,31.0,22.0,43,Sunny
Adiyaman,2023-09-17 18:11,27.8,9.7,18,Sunny
Afyonkarahisar,2023-09-17 18:11,20.0,11.2,35,Sunny
Agri,2023-09-17 18:11,12.9,3.6,61,Patchy rain possible
Aksaray,2023-09-17 18:11,19.6,15.8,37,Sunny
Amasya,2023-09-17 18:11,21.0,37.1,49,Partly cloudy
Ankara,2023-09-17 18:11,27.0,9.0,25,Sunny
Antalya,2023-09-17 18:11,33.0,20.2,23,Sunny
Ardahan,2023-09-17 18:11,9.8,10.1,83,Sunny
Artvin,2023-09-17 18:11,21.0,6.8,88,Overcast
Aydin,2023-09-17 18:11,33.0,16.9,30,Sunny
Balikesir,2023-09-17 18:11,29.0,31.0,45,Sunny
Bartin,2023-09-17 18:11,24.0,16.9,57,Sunny
Batman,2023-09-17 18:11,32.0,11.2,14,Sunny
Bayburt,2023-09-17 18:11,9.7,12.2,81,Sunny
Bilecik,2023-09-17 18:11,25.0,24.1,51,Partly cloudy
Bingol,2023-09-17 18:11,21.1,12.2,26,Sunny
Bitlis,2023-09-17 18:11,28.0,9.0,19,Partly cloudy
Bolu,2023-09-17 18:11,15.9,6.8,83,Sunny
Burdur,2023-09-17 18:11,27.0,16.9,23,Sunny
Bursa,2023-09-17 18:11,25.0,24.1,51,Partly cloudy
Canakkale,2023-09-17 18:11,30.0,37.1,35,Partly cloudy
Cankiri,2023-09-17 18:11,18.4,10.1,33,Sunny
Corum,2023-09-17 18:11,15.7,16.9,54,Sunny
Denizli,2023-09-17 18:11,28.0,16.9,20,Sunny
Diyarbakir,2023-09-17 18:11,33.0,15.1,12,Sunny
Duzce,2023-09-17 18:11,15.9,6.8,83,Sunny
Edirne,2023-09-17 18:11,23.0,24.1,54,Sunny
Elazig,2023-09-17 18:11,30.0,15.1,17,Sunny
Erzincan,2023-09-17 18:11,27.0,6.8,25,Sunny
Erzurum,2023-09-17 18:11,22.0,11.2,31,Partly cloudy
Eskisehir,2023-09-17 18:11,26.0,19.1,37,Partly cloudy
Gaziantep,2023-09-17 18:11,31.0,11.2,18,Sunny
Giresun,2023-09-17 18:11,16.2,13.7,86,Patchy rain possible
Gumushane,2023-09-17 18:11,8.8,10.1,83,Sunny
Hakkari,2023-09-17 18:11,12.5,3.6,32,Sunny
Hatay,2023-09-17 18:11,22.8,11.2,58,Sunny
Igdir,2023-09-17 18:11,26.0,13.0,30,Partly cloudy
Isparta,2023-09-17 18:11,27.0,16.9,23,Sunny
Istanbul,2023-09-17 18:11,25.0,31.0,57,Partly cloudy
Izmir,2023-09-17 18:11,33.0,20.2,30,Sunny
Kahramanmaras,2023-09-17 18:11,25.4,9.7,23,Sunny
Karabuk,2023-09-17 18:11,17.3,9.0,54,Sunny
Karaman,2023-09-17 18:11,18.9,16.9,29,Sunny
Kars,2023-09-17 18:11,19.0,20.2,40,Partly cloudy
Kastamonu,2023-09-17 18:11,14.3,12.2,61,Sunny
Kayseri,2023-09-17 18:11,25.0,11.2,34,Sunny
Kirikkale,2023-09-17 18:11,25.0,15.1,28,Sunny
Kirklareli,2023-09-17 18:11,20.1,23.4,63,Sunny
Kirsehir,2023-09-17 18:11,24.0,22.0,34,Sunny
Kilis,2023-09-17 18:11,31.0,11.2,18,Sunny
Kocaeli,2023-09-17 18:11,25.0,22.0,54,Partly cloudy
Konya,2023-09-17 18:11,24.0,22.0,34,Sunny
Kutahya,2023-09-17 18:11,19.4,18.7,48,Sunny
Malatya,2023-09-17 18:11,29.0,9.0,20,Sunny
Manisa,2023-09-17 18:11,33.0,20.2,30,Sunny
Mardin,2023-09-17 18:11,28.1,10.4,12,Sunny
Mersin,2023-09-17 18:11,27.0,13.0,57,Sunny
Mugla,2023-09-17 18:11,30.0,19.1,59,Partly cloudy
Mus,2023-09-17 18:11,28.0,9.0,19,Partly cloudy
Nevsehir,2023-09-17 18:11,24.0,22.0,34,Sunny
Nigde,2023-09-17 18:11,15.0,7.9,32,Sunny
Ordu,2023-09-17 18:11,16.2,13.7,86,Patchy rain possible
Osmaniye,2023-09-17 18:11,22.2,8.3,58,Sunny
Rize,2023-09-17 18:11,17.2,6.8,89,Light rain shower
Sakarya,2023-09-17 18:11,25.0,22.0,54,Partly cloudy
Samsun,2023-09-17 18:11,23.0,16.9,65,Partly cloudy
Siirt,2023-09-17 18:11,24.9,3.6,16,Sunny
Sinop,2023-09-17 18:11,19.9,10.4,58,Sunny
Sivas,2023-09-17 18:11,17.0,24.1,52,Partly cloudy
Sirnak,2023-09-17 18:11,29.9,5.8,12,Sunny
Tekirdag,2023-09-17 18:11,25.0,31.0,54,Partly cloudy
Tokat,2023-09-17 18:11,13.5,10.8,87,Partly cloudy
Trabzon,2023-09-17 18:11,23.0,20.2,69,Moderate or heavy rain with thunder
Tunceli,2023-09-17 18:11,17.0,7.9,30,Sunny
Usak,2023-09-17 18:11,27.0,19.1,23,Sunny
Van,2023-09-17 18:11,22.0,13.0,46,Partly cloudy
Yalova,2023-09-17 18:11,24.0,31.0,61,Partly cloudy
Yozgat,2023-09-17 18:11,16.9,18.7,58,Sunny
Zonguldak,2023-09-17 18:11,24.0,16.9,57,Sunny
Adana,2023-09-18 18:12,31.0,15.1,49,Sunny
Adiyaman,2023-09-18 18:12,27.1,4.0,18,Cloudy
Afyonkarahisar,2023-09-18 18:13,24.0,16.9,29,Sunny
Agri,2023-09-18 18:12,12.7,7.2,62,Patchy rain possible
Aksaray,2023-09-18 18:12,18.5,16.6,22,Sunny
Amasya,2023-09-18 18:13,21.0,33.1,43,Sunny
Ankara,2023-09-18 18:13,25.0,19.1,17,Sunny
Antalya,2023-09-18 18:12,31.0,16.9,33,Partly cloudy
Ardahan,2023-09-18 18:12,10.0,9.4,70,Sunny
Artvin,2023-09-18 18:12,11.3,10.1,79,Sunny
Aydin,2023-09-18 18:13,31.0,19.1,38,Sunny
Balikesir,2023-09-18 18:12,26.0,31.0,42,Sunny
Bartin,2023-09-18 18:12,25.0,15.1,51,Sunny
Batman,2023-09-18 18:12,33.0,6.8,12,Sunny
Bayburt,2023-09-18 18:12,9.5,11.5,76,Sunny
Bilecik,2023-09-18 18:13,24.0,22.0,44,Partly cloudy
Bingol,2023-09-18 18:13,19.3,10.1,27,Sunny
Bitlis,2023-09-18 18:13,28.0,3.6,22,Partly cloudy
Bolu,2023-09-18 18:13,17.1,5.0,77,Sunny
Burdur,2023-09-18 18:13,28.0,6.8,22,Sunny
Bursa,2023-09-18 18:13,24.0,22.0,44,Partly cloudy
Canakkale,2023-09-18 18:13,27.0,41.0,37,Partly cloudy
Cankiri,2023-09-18 18:13,17.0,6.1,30,Sunny
Corum,2023-09-18 18:13,15.3,14.0,43,Sunny
Denizli,2023-09-18 18:13,28.0,6.8,22,Sunny
Diyarbakir,2023-09-18 18:13,32.0,6.8,15,Sunny
Duzce,2023-09-18 18:13,17.1,5.0,77,Sunny
Edirne,2023-09-18 18:13,22.5,21.2,43,Partly cloudy
Elazig,2023-09-18 18:13,30.0,13.0,17,Partly cloudy
Erzincan,2023-09-18 18:13,27.0,3.6,23,Sunny
Erzurum,2023-09-18 18:13,22.0,13.0,22,Partly cloudy
Eskisehir,2023-09-18 18:13,25.0,9.0,39,Sunny
Gaziantep,2023-09-18 18:13,31.0,13.0,19,Sunny
Giresun,2023-09-18 18:13,15.2,4.7,79,Sunny
Gumushane,2023-09-18 18:13,8.6,8.6,87,Partly cloudy
Hakkari,2023-09-18 18:13,7.5,3.6,37,Sunny
Hatay,2023-09-18 18:13,23.1,12.2,61,Sunny
Igdir,2023-09-18 18:13,23.0,29.9,31,Partly cloudy
Isparta,2023-09-18 18:13,28.0,15.1,22,Sunny
Istanbul,2023-09-18 18:13,24.0,37.1,54,Partly cloudy
Izmir,2023-09-18 18:13,31.0,33.1,31,Sunny
Kahramanmaras,2023-09-18 18:13,25.5,8.6,26,Sunny
Karabuk,2023-09-18 18:13,16.4,6.1,36,Sunny
Karaman,2023-09-18 18:13,18.2,14.0,22,Sunny
Kars,2023-09-18 18:13,18.0,20.2,37,Partly cloudy
Kastamonu,2023-09-18 18:13,13.7,10.1,54,Sunny
Kayseri,2023-09-18 18:13,25.0,6.8,21,Partly cloudy
Kirikkale,2023-09-18 18:13,23.0,22.0,22,Sunny
Kirklareli,2023-09-18 18:13,20.0,20.9,58,Sunny
Kirsehir,2023-09-18 18:13,18.7,19.4,27,Sunny
Kilis,2023-09-18 18:13,31.0,13.0,19,Sunny
Kocaeli,2023-09-18 18:13,24.0,16.9,50,Partly cloudy
Konya,2023-09-18 18:13,23.0,22.0,25,Sunny
Kutahya,2023-09-18 18:13,16.9,13.3,42,Sunny
Malatya,2023-09-18 18:13,28.0,3.6,22,Sunny
Manisa,2023-09-18 18:13,31.0,33.1,31,Sunny
Mardin,2023-09-18 18:13,28.0,3.6,15,Sunny
Mersin,2023-09-18 18:13,26.6,14.8,62,Sunny
Mugla,2023-09-18 18:13,22.6,3.6,38,Sunny
Mus,2023-09-18 18:13,28.0,3.6,22,Partly cloudy
Nevsehir,2023-09-18 18:13,25.0,19.1,21,Sunny
Nigde,2023-09-18 18:13,14.7,5.8,31,Partly cloudy
Ordu,2023-09-18 18:13,15.2,4.7,79,Sunny
Osmaniye,2023-09-18 18:13,23.5,7.2,67,Sunny
Rize,2023-09-18 18:13,17.3,5.4,80,Cloudy
Sakarya,2023-09-18 18:13,24.0,16.9,50,Partly cloudy
Samsun,2023-09-18 18:13,23.0,24.1,61,Partly cloudy
Siirt,2023-09-18 18:13,24.9,3.6,18,Partly cloudy
Sinop,2023-09-18 18:13,20.0,7.2,62,Sunny
Sivas,2023-09-18 18:13,19.0,25.9,30,Sunny
Sirnak,2023-09-18 18:13,28.2,3.6,16,Sunny
Tekirdag,2023-09-18 18:13,24.0,38.9,54,Sunny
Tokat,2023-09-18 18:13,22.0,25.9,43,Partly cloudy
Trabzon,2023-09-18 18:13,22.0,6.8,65,Partly cloudy
Tunceli,2023-09-18 18:13,17.1,6.5,29,Sunny
Usak,2023-09-18 18:13,27.0,19.1,25,Partly cloudy
Van,2023-09-18 18:13,22.0,13.0,46,Partly cloudy
Yalova,2023-09-18 18:13,23.0,37.1,50,Partly cloudy
Yozgat,2023-09-18 18:13,16.4,13.7,40,Sunny
Zonguldak,2023-09-18 18:13,25.0,15.1,51,Sunny
Adana,2023-09-19 18:12,30.0,16.9,59,Partly cloudy
Adiyaman,2023-09-19 18:12,27.5,8.3,21,Sunny
Afyonkarahisar,2023-09-19 18:13,18.8,8.6,22,Sunny
Agri,2023-09-19 18:13,12.0,6.5,68,Sunny
Aksaray,2023-09-19 18:13,19.2,9.0,28,Sunny
Amasya,2023-09-19 18:12,22.0,33.1,50,Sunny
Ankara,2023-09-19 18:12,24.0,19.1,21,Sunny
Antalya,2023-09-19 18:12,29.0,15.1,48,Partly cloudy
Ardahan,2023-09-19 18:12,11.8,8.3,61,Sunny
Artvin,2023-09-19 18:13,23.0,9.0,73,Sunny
Aydin,2023-09-19 18:13,32.0,16.9,32,Sunny
Balikesir,2023-09-19 18:13,27.0,24.1,42,Sunny
Bartin,2023-09-19 18:13,23.0,22.0,65,Sunny
Batman,2023-09-19 18:13,34.0,6.1,16,Sunny
Bayburt,2023-09-19 18:13,14.1,9.0,54,Sunny
Bilecik,2023-09-19 18:13,26.0,22.0,42,Sunny
Bingol,2023-09-19 18:13,21.5,6.8,23,Sunny
Bitlis,2023-09-19 18:13,28.0,13.0,25,Partly cloudy
Bolu,2023-09-19 18:13,17.2,4.0,71,Sunny
Burdur,2023-09-19 18:13,29.0,3.6,14,Sunny
Bursa,2023-09-19 18:13,26.0,22.0,42,Sunny
Canakkale,2023-09-19 18:13,28.0,24.1,40,Partly cloudy
Cankiri,2023-09-19 18:13,17.0,4.3,29,Sunny
Corum,2023-09-19 18:13,17.0,10.4,48,Partly cloudy
Denizli,2023-09-19 18:13,29.0,3.6,14,Sunny
Diyarbakir,2023-09-19 18:13,33.0,6.1,13,Partly cloudy
Duzce,2023-09-19 18:13,17.2,4.0,71,Sunny
Edirne,2023-09-19 18:13,25.1,14.4,32,Partly cloudy
Elazig,2023-09-19 18:13,31.0,9.0,16,Partly cloudy
Erzincan,2023-09-19 18:13,29.0,3.6,19,Partly cloudy
Erzurum,2023-09-19 18:13,22.0,19.1,31,Partly cloudy
Eskisehir,2023-09-19 18:13,20.9,15.1,33,Sunny
Gaziantep,2023-09-19 18:13,30.0,9.0,25,Partly cloudy
Giresun,2023-09-19 18:13,16.0,3.6,85,Partly cloudy
Gumushane,2023-09-19 18:13,9.7,6.5,92,Sunny
Hakkari,2023-09-19 18:13,12.7,5.8,50,Patchy rain possible
Hatay,2023-09-19 18:13,22.2,10.1,64,Sunny
Igdir,2023-09-19 18:13,25.0,6.1,30,Clear
Isparta,2023-09-19 18:13,28.0,13.0,17,Partly cloudy
Istanbul,2023-09-19 18:13,25.0,28.1,54,Partly cloudy
Izmir,2023-09-19 18:13,28.0,41.0,37,Sunny
Kahramanmaras,2023-09-19 18:13,23.3,8.6,42,Sunny
Karabuk,2023-09-19 18:13,16.5,7.2,28,Sunny
Karaman,2023-09-19 18:13,19.3,13.0,28,Sunny
Kars,2023-09-19 18:13,19.0,25.9,40,Partly cloudy
Kastamonu,2023-09-19 18:13,16.0,5.0,37,Sunny
Kayseri,2023-09-19 18:13,25.0,11.2,24,Partly cloudy
Kirikkale,2023-09-19 18:13,17.3,7.6,32,Sunny
Kirklareli,2023-09-19 18:13,20.9,19.1,49,Sunny
Kirsehir,2023-09-19 18:13,25.0,13.0,24,Partly cloudy
Kilis,2023-09-19 18:13,30.0,9.0,25,Partly cloudy
Kocaeli,2023-09-19 18:13,25.0,20.2,44,Partly cloudy
Konya,2023-09-19 18:13,24.0,20.2,25,Sunny
Kutahya,2023-09-19 18:13,18.1,12.6,32,Sunny
Malatya,2023-09-19 18:13,30.0,11.2,17,Partly cloudy
Manisa,2023-09-19 18:13,28.0,41.0,37,Sunny
Mardin,2023-09-19 18:13,27.9,9.0,17,Sunny
Mersin,2023-09-19 18:13,26.3,10.8,64,Sunny
Mugla,2023-09-19 18:13,21.9,3.6,37,Sunny
Mus,2023-09-19 18:13,28.0,13.0,25,Partly cloudy
Nevsehir,2023-09-19 18:13,25.0,13.0,24,Partly cloudy
Nigde,2023-09-19 18:13,15.8,5.0,36,Sunny
Ordu,2023-09-19 18:13,16.0,3.6,85,Partly cloudy
Osmaniye,2023-09-19 18:13,24.1,7.2,74,Sunny
Rize,2023-09-19 18:13,16.6,3.6,86,Sunny
Sakarya,2023-09-19 18:13,25.0,20.2,44,Partly cloudy
Samsun,2023-09-19 18:13,24.0,13.0,61,Partly cloudy
Siirt,2023-09-19 18:13,25.3,7.6,18,Sunny
Sinop,2023-09-19 18:13,20.9,27.4,75,Sunny
Sivas,2023-09-19 18:13,20.0,25.9,37,Partly cloudy
Sirnak,2023-09-19 18:13,27.1,3.6,17,Sunny
Tekirdag,2023-09-19 18:13,24.0,25.9,50,Sunny
Tokat,2023-09-19 18:13,23.0,6.8,47,Sunny
Trabzon,2023-09-19 18:13,23.0,15.1,69,Partly cloudy
Tunceli,2023-09-19 18:13,17.9,5.0,22,Overcast
Usak,2023-09-19 18:13,28.0,19.1,11,Sunny
Van,2023-09-19 18:13,23.0,16.9,41,Partly cloudy
Yalova,2023-09-19 18:13,24.0,29.9,50,Sunny
Yozgat,2023-09-19 18:13,18.3,9.4,41,Sunny
Zonguldak,2023-09-19 18:13,23.0,22.0,65,Sunny
Adana,2023-09-20 18:12,30.0,13.0,59,Partly cloudy
Adiyaman,2023-09-20 18:12,23.0,11.9,44,Patchy rain possible
Afyonkarahisar,2023-09-20 18:12,27.0,3.6,12,Sunny
Agri,2023-09-20 18:12,12.7,5.4,59,Patchy rain possible
Aksaray,2023-09-20 18:12,19.6,10.8,32,Sunny
Amasya,2023-09-20 18:12,25.0,29.9,39,Partly cloudy
Ankara,2023-09-20 18:12,28.0,3.6,10,Sunny
Antalya,2023-09-20 18:12,30.0,15.1,46,Sunny
Ardahan,2023-09-20 18:12,11.1,5.4,82,Moderate or heavy rain shower
Artvin,2023-09-20 18:12,23.0,3.6,69,Partly cloudy
Aydin,2023-09-20 18:12,32.0,16.9,32,Sunny
Balikesir,2023-09-20 18:12,28.0,19.1,37,Sunny
Bartin,2023-09-20 18:12,24.0,15.1,61,Partly cloudy
Batman,2023-09-20 18:12,34.0,9.0,14,Sunny
Bayburt,2023-09-20 18:12,14.3,9.4,58,Thundery outbreaks possible
Bilecik,2023-09-20 18:12,27.0,16.9,39,Sunny
Bingol,2023-09-20 18:12,21.2,6.5,26,Patchy rain possible
Bitlis,2023-09-20 18:12,29.0,9.0,16,Partly cloudy
Bolu,2023-09-20 18:12,17.7,4.7,84,Sunny
Burdur,2023-09-20 18:12,29.0,11.2,15,Sunny
Bursa,2023-09-20 18:12,27.0,16.9,39,Sunny
Canakkale,2023-09-20 18:12,28.0,20.2,33,Sunny
Cankiri,2023-09-20 18:12,17.1,3.6,24,Sunny
Corum,2023-09-20 18:12,19.2,10.4,42,Sunny
Denizli,2023-09-20 18:12,29.0,11.2,15,Sunny
Diyarbakir,2023-09-20 18:12,34.0,13.0,14,Sunny
Duzce,2023-09-20 18:12,17.7,4.7,84,Sunny
Edirne,2023-09-20 18:12,26.8,5.8,33,Sunny
Elazig,2023-09-20 18:12,32.0,9.0,14,Partly cloudy
Erzincan,2023-09-20 18:12,29.0,3.6,20,Patchy light rain with thunder
Erzurum,2023-09-20 18:12,22.0,9.0,29,Light rain
Eskisehir,2023-09-20 18:12,27.0,11.2,21,Sunny
Gaziantep,2023-09-20 18:12,29.0,24.1,25,Partly cloudy
Giresun,2023-09-20 18:12,17.2,3.6,87,Sunny
Gumushane,2023-09-20 18:12,8.6,4.0,83,Patchy rain possible
Hakkari,2023-09-20 18:12,13.1,3.6,35,Sunny
Hatay,2023-09-20 18:12,21.2,10.8,66,Sunny
Igdir,2023-09-20 18:12,25.0,3.6,30,Partly cloudy
Isparta,2023-09-20 18:12,29.0,22.0,11,Sunny
Istanbul,2023-09-20 18:12,25.0,24.1,47,Sunny
Izmir,2023-09-20 18:12,27.0,24.1,48,Sunny
Kahramanmaras,2023-09-20 18:12,23.3,13.7,47,Patchy rain possible
Karabuk,2023-09-20 18:12,16.1,7.6,47,Sunny
Karaman,2023-09-20 18:12,20.6,11.2,28,Sunny
Kars,2023-09-20 18:12,21.0,15.1,38,Partly cloudy
Kastamonu,2023-09-20 18:12,15.9,9.4,51,Sunny
Kayseri,2023-09-20 18:12,26.0,13.0,24,Partly cloudy
Kirikkale,2023-09-20 18:12,27.0,6.1,8,Sunny
Kirklareli,2023-09-20 18:12,23.1,16.2,40,Sunny
Kirsehir,2023-09-20 18:12,27.0,15.1,20,Partly cloudy
Kilis,2023-09-20 18:12,29.0,24.1,25,Partly cloudy
