City,LocalTime,Temperature_C,Wind_Speed_kph,Humidity,Condition
Bilecik,2023-09-11 18:12,24.0,20.2,44,Partly cloudy
Bingol,2023-09-11 18:12,20.4,9.0,30,Sunny
Bitlis,2023-09-11 18:12,27.0,22.0,17,Partly cloudy
Bolu,2023-09-11 18:12,17.4,8.6,73,Sunny
Burdur,2023-09-11 18:12,27.0,16.9,13,Sunny
Bursa,2023-09-11 18:12,24.0,20.2,44,Partly cloudy
Canakkale,2023-09-11 18:12,27.0,42.8,39,Partly cloudy
Cankiri,2023-09-11 18:12,17.9,6.8,28,Sunny
Corum,2023-09-11 18:12,15.3,18.4,53,Sunny
Denizli,2023-09-11 18:12,27.0,16.9,13,Sunny
Diyarbakir,2023-09-11 18:12,32.0,6.8,15,Partly cloudy
Duzce,2023-09-11 18:12,17.4,8.6,73,Sunny
Edirne,2023-09-11 18:12,23.4,21.2,39,Sunny
Elazig,2023-09-11 18:12,30.0,16.9,16,Partly cloudy
Erzincan,2023-09-11 18:12,25.0,3.6,24,Partly cloudy
Erzurum,2023-09-11 18:12,20.0,9.0,30,Partly cloudy
Eskisehir,2023-09-11 18:12,25.0,11.2,36,Partly cloudy
Gaziantep,2023-09-11 18:12,30.0,15.1,24,Partly cloudy
Giresun,2023-09-11 18:12,15.2,10.8,79,Sunny
Gumushane,2023-09-11 18:13,8.7,9.7,82,Partly cloudy
Hakkari,2023-09-11 18:13,8.4,13.0,42,Sunny
Hatay,2023-09-11 18:12,29.0,13.0,62,Partly cloudy
Igdir,2023-09-11 18:12,21.0,6.1,40,Moderate or heavy rain with thunder
Isparta,2023-09-11 18:13,27.0,22.0,17,Partly cloudy
Istanbul,2023-09-11 18:13,25.0,34.9,44,Partly cloudy
Izmir,2023-09-11 18:12,32.0,25.9,32,Sunny
Kahramanmaras,2023-09-11 18:13,24.2,10.4,34,Sunny
Karabuk,2023-09-11 18:13,15.5,11.5,50,Sunny
Karaman,2023-09-11 18:13,19.9,15.5,18,Sunny
Kars,2023-09-11 18:13,15.0,19.1,55,Partly cloudy
Kastamonu,2023-09-11 18:13,14.1,12.6,65,Sunny
Kayseri,2023-09-11 18:13,23.0,3.6,22,Partly cloudy
Kirikkale,2023-09-11 18:13,23.0,15.1,22,Partly cloudy
Kirklareli,2023-09-11 18:12,20.3,19.8,53,Sunny
Kirsehir,2023-09-11 18:13,22.0,19.1,20,Partly cloudy
Kilis,2023-09-11 18:13,30.0,15.1,24,Partly cloudy
Kocaeli,2023-09-11 18:13,24.0,19.1,50,Partly cloudy
Konya,2023-09-11 18:13,21.0,25.9,21,Partly cloudy
Kutahya,2023-09-11 18:13,18.0,18.0,40,Sunny
Malatya,2023-09-11 18:13,27.0,11.2,21,Partly cloudy
Manisa,2023-09-11 18:13,32.0,25.9,32,Sunny
Mardin,2023-09-11 18:13,28.2,12.2,17,Sunny
Mersin,2023-09-11 18:13,27.7,18.0,55,Sunny
Mugla,2023-09-11 18:13,23.8,3.6,39,Sunny
Mus,2023-09-11 18:13,27.0,22.0,17,Partly cloudy
Nevsehir,2023-09-11 18:13,22.0,19.1,20,Partly cloudy
Nigde,2023-09-11 18:13,14.8,9.4,26,Sunny
Ordu,2023-09-11 18:13,15.2,10.8,79,Sunny
Osmaniye,2023-09-11 18:13,23.9,9.4,79,Sunny
Rize,2023-09-11 18:13,16.5,6.8,75,Cloudy
Sakarya,2023-09-11 18:13,24.0,19.1,50,Partly cloudy
Samsun,2023-09-11 18:13,22.0,16.9,61,Partly cloudy
Siirt,2023-09-11 18:13,25.7,12.6,27,Sunny
Sinop,2023-09-11 18:13,20.3,13.7,57,Sunny
Sivas,2023-09-11 18:13,15.0,31.0,48,Sunny
Sirnak,2023-09-11 18:13,27.4,12.6,25,Sunny
Tekirdag,2023-09-11 18:13,23.0,29.9,53,Partly cloudy
Tokat,2023-09-11 18:13,22.0,20.2,38,Partly cloudy
Trabzon,2023-09-11 18:13,21.0,3.6,60,Partly cloudy
Tunceli,2023-09-11 18:13,16.1,4.3,33,Partly cloudy
Usak,2023-09-11 18:13,26.0,25.9,21,Partly cloudy
Van,2023-09-11 18:13,23.0,9.0,41,Partly cloudy
Yalova,2023-09-11 18:13,24.0,33.1,54,Partly cloudy
Yozgat,2023-09-11 18:13,15.9,16.9,47,Sunny
Zonguldak,2023-09-11 18:13,23.0,20.2,57,Sunny
Adana,2023-09-12 18:12,33.0,15.1,24,Sunny
Adiyaman,2023-09-12 18:12,25.1,3.6,20,Partly cloudy
Afyonkarahisar,2023-09-12 18:12,24.0,9.0,27,Sunny
Agri,2023-09-12 18:12,9.9,5.0,85,Partly cloudy
Aksaray,2023-09-12 18:12,18.1,14.8,21,Sunny
Amasya,2023-09-12 18:12,20.0,33.1,46,Partly cloudy
Ankara,2023-09-12 18:12,23.0,11.2,27,Sunny
Antalya,2023-09-12 18:12,32.0,24.1,21,Sunny
Ardahan,2023-09-12 18:12,9.2,7.6,79,Partly cloudy
Artvin,2023-09-12 18:12,20.0,9.0,83,Partly cloudy
Aydin,2023-09-12 18:12,33.0,9.0,23,Sunny
Balikesir,2023-09-12 18:12,28.0,24.1,33,Sunny
Bartin,2023-09-12 18:12,24.0,19.1,57,Partly cloudy
Batman,2023-09-12 18:12,29.0,13.0,31,Partly cloudy
Bayburt,2023-09-12 18:12,8.5,11.9,80,Sunny
Bilecik,2023-09-12 18:12,26.0,16.9,28,Sunny
Bingol,2023-09-12 18:12,19.7,8.6,38,Sunny
Bitlis,2023-09-12 18:12,19.0,16.9,68,Partly cloudy
Bolu,2023-09-12 18:12,17.6,7.2,65,Sunny
Burdur,2023-09-12 18:12,27.0,20.2,16,Sunny
Bursa,2023-09-12 18:12,26.0,16.9,28,Sunny
Canakkale,2023-09-12 18:12,29.0,24.1,35,Sunny
Cankiri,2023-09-12 18:12,16.5,4.3,27,Sunny
Corum,2023-09-12 18:12,14.7,16.6,62,Sunny
Denizli,2023-09-12 18:12,27.0,20.2,16,Sunny
Diyarbakir,2023-09-12 18:12,29.0,15.1,22,Partly cloudy
Duzce,2023-09-12 18:12,17.6,7.2,65,Sunny
Edirne,2023-09-12 18:12,25.7,15.1,28,Sunny
Elazig,2023-09-12 18:12,26.0,6.8,16,Partly cloudy
Erzincan,2023-09-12 18:12,25.0,9.0,18,Sunny
Erzurum,2023-09-12 18:12,19.0,15.1,40,Partly cloudy
Eskisehir,2023-09-12 18:12,25.0,9.0,22,Sunny
Gaziantep,2023-09-12 18:12,23.0,11.2,50,Light rain
Giresun,2023-09-12 18:12,15.7,8.6,69,Sunny
Gumushane,2023-09-12 18:12,9.2,9.7,83,Partly cloudy
Hakkari,2023-09-12 18:12,11.8,14.0,56,Partly cloudy
Hatay,2023-09-12 18:12,27.2,6.1,33,Partly cloudy
Igdir,2023-09-12 18:12,17.0,6.8,83,Partly cloudy
Isparta,2023-09-12 18:12,27.0,19.1,20,Sunny
Istanbul,2023-09-12 18:12,26.0,29.9,37,Sunny
Izmir,2023-09-12 18:12,30.0,29.9,29,Sunny
Kahramanmaras,2023-09-12 18:12,24.7,9.0,17,Sunny
Karabuk,2023-09-12 18:12,15.5,11.2,50,Sunny
Karaman,2023-09-12 18:12,17.5,20.2,20,Sunny
Kars,2023-09-12 18:12,12.0,6.1,71,Partly cloudy
Kastamonu,2023-09-12 18:12,13.9,12.6,70,Sunny
Kayseri,2023-09-12 18:13,22.0,19.1,27,Partly cloudy
Kirikkale,2023-09-12 18:12,22.0,15.1,25,Partly cloudy
Kirklareli,2023-09-12 18:12,21.9,19.1,43,Sunny
Kirsehir,2023-09-12 18:12,23.0,19.1,23,Sunny
Kilis,2023-09-12 18:12,23.0,11.2,50,Light rain
Kocaeli,2023-09-12 18:13,25.0,19.1,44,Sunny
Konya,2023-09-12 18:12,23.0,25.9,23,Sunny
Kutahya,2023-09-12 18:12,18.1,15.5,31,Sunny
Malatya,2023-09-12 18:13,27.0,19.1,8,Partly cloudy
Manisa,2023-09-12 18:13,30.0,31.0,33,Sunny
Mardin,2023-09-12 18:13,27.9,13.0,23,Partly cloudy
Mersin,2023-09-12 18:12,27.5,12.2,58,Sunny
Mugla,2023-09-12 18:12,24.0,8.6,24,Sunny
Mus,2023-09-12 18:12,19.0,16.9,68,Partly cloudy
Nevsehir,2023-09-12 18:12,23.0,19.1,23,Sunny
Nigde,2023-09-12 18:13,13.2,13.0,26,Sunny
Ordu,2023-09-12 18:12,15.7,8.6,69,Sunny
Osmaniye,2023-09-12 18:13,25.3,6.8,23,Sunny
Rize,2023-09-12 18:13,23.0,16.9,61,Partly cloudy
Sakarya,2023-09-12 18:12,25.0,19.1,44,Sunny
Samsun,2023-09-12 18:12,22.0,16.9,61,Partly cloudy
Siirt,2023-09-12 18:12,21.4,9.7,48,Partly cloudy
Sinop,2023-09-12 18:13,20.9,11.2,55,Sunny
Sivas,2023-09-12 18:13,15.0,31.0,51,Partly cloudy
Sirnak,2023-09-12 18:13,27.0,11.5,26,Partly cloudy
Tekirdag,2023-09-12 18:13,25.0,24.1,44,Partly cloudy
Tokat,2023-09-12 18:13,21.0,28.1,46,Partly cloudy
Trabzon,2023-09-12 18:13,23.0,16.9,61,Partly cloudy
Tunceli,2023-09-12 18:13,16.1,6.1,36,Sunny
Usak,2023-09-12 18:13,27.0,20.2,20,Sunny
